K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.15,0.35,4.39992,-1.69997,4.49992,110,0.707107,0.707107,0,3.04994,4.49992,5.84989,0,0,1,n
0.15,0.35,4.39992,-1.69997,4.49992,111,0.57735,0.57735,0.57735,3.53327,3.53327,6.33322,2.22045e-16,5.55112e-17,1,n
0.15,0.4,4.79992,-1.89997,5.09991,100,1,0,0,4.79992,5.09991,5.09991,1,0,0,y
0.15,0.4,4.79992,-1.89997,5.09991,110,0.707107,0.707107,0,3.34994,5.09991,6.54988,0,0,1,n
0.15,0.4,4.79992,-1.89997,5.09991,111,0.57735,0.57735,0.57735,3.93327,3.93327,7.13321,-5.55112e-17,-2.77556e-17,1,n
0.15,0.45,5.19991,-2.09996,5.6999,100,1,0,0,5.19991,5.6999,5.6999,1,0,0,y
0.15,0.45,5.19991,-2.09996,5.6999,110,0.707107,0.707107,0,3.64993,5.6999,7.24987,0,0,1,n
0.15,0.45,5.19991,-2.09996,5.6999,111,0.57735,0.57735,0.57735,4.33326,4.33326,7.9332,-2.22045e-16,-2.35922e-16,1,n
0.15,0.5,5.5999,-2.29996,6.29989,100,1,0,0,5.5999,6.29989,6.29989,1,0,0,y
0.15,0.5,5.5999,-2.29996,6.29989,110,0.707107,0.707107,0,3.94993,6.29989,7.94986,0,0,1,n
0.15,0.5,5.5999,-2.29996,6.29989,111,0.57735,0.57735,0.57735,4.73325,4.73325,8.73318,1.11022e-16,-4.44089e-16,1,n
0.15,0.55,5.99989,-2.49996,6.89988,100,1,0,0,5.99989,6.89988,6.89988,1,0,0,y
0.15,0.55,5.99989,-2.49996,6.89988,110,0.707107,0.707107,0,4.24992,6.89988,8.64984,0,0,1,n
0.15,0.55,5.99989,-2.49996,6.89988,111,0.57735,0.57735,0.57735,5.13324,5.13324,9.53316,2.498e-16,-5.55112e-17,1,n
0.15,0.6,6.39989,-2.69995,7.49987,100,1,0,0,6.39989,7.49987,7.49987,1,0,0,y
0.15,0.6,6.39989,-2.69995,7.49987,110,0.707107,0.707107,0,4.54992,7.49987,9.34984,0,0,1,n
0.15,0.6,6.39989,-2.69995,7.49987,111,0.57735,0.57735,0.57735,5.53324,5.53324,10.3332,-5.55112e-17,-6.93889e-17,1,n
0.15,0.65,6.79988,-2.89995,8.09986,100,1,0,0,6.79988,8.09986,8.09986,1,0,0,y
0.15,0.65,6.79988,-2.89995,8.09986,110,0.707107,0.707107,0,4.84991,8.09986,10.0498,0,0,1,n
0.15,0.65,6.79988,-2.89995,8.09986,111,0.57735,0.57735,0.57735,5.93323,5.93323,11.1331,5.55112e-17,-1.11022e-16,1,n
0.15,0.7,7.19987,-3.09995,8.69985,100,1,0,0,7.19987,8.69985,8.69985,1,0,0,y
0.15,0.7,7.19987,-3.09995,8.69985,110,0.707107,0.707107,0,5.14991,8.69985,10.7498,0,0,1,n
0.15,0.7,7.19987,-3.09995,8.69985,111,0.57735,0.57735,0.57735,6.33322,6.33322,11.9331,5.55112e-17,5.55112e-17,1,n
0.2,0,1.79997,-0.399993,0.399993,100,1,0,0,0.399993,0.399993,1.79997,0,0,1,n
0.2,0,1.79997,-0.399993,0.399993,110,0.707107,0.707107,0,0.399993,1.09998,1.09998,0,0.707107,0.707107,m
0.2,0,1.79997,-0.399993,0.399993,111,0.57735,0.57735,0.57735,0.866652,0.866652,0.866652,0.57735,0.57735,0.57735,=
0.2,0.05,2.19996,-0.599989,0.999982,100,1,0,0,0.999982,0.999982,2.19996,0,0,1,n
0.2,0.05,2.19996,-0.599989,0.999982,110,0.707107,0.707107,0,0.999982,1.39997,1.79997,0,0,1,n
0.2,0.05,2.19996,-0.599989,0.999982,111,0.57735,0.57735,0.57735,1.26664,1.26664,1.66664,-8.88178e-16,-3.88578e-16,1,n
0.2,0.1,2.59995,-0.799986,1.59997,100,1,0,0,1.59997,1.59997,2.59995,0,0,1,n
